,,,,,,,,Carrocería,,,,,,,,,,,,,,,,,,,Motor,,,,,,,,,,,,,,Transmisión y control,,,,Prestaciones y consumos homologados,,,,,,,,,Suspensión y frenos,,,,
195399,Audi,100,4A/C4,1990,1994,Avant Berlina,2.6 quattro AT (150 CV),Berlina,5,4790,1777,1440,2692,1526,1527,1150/1130,,,,,124,1266,1266,,2100,,Gasolina,2598,150,à 5 750,225,Inyección multipunto,V-twin,6,,"82,5",81,2,à 3 500,,Expendedora,tracción en las cuatro ruedas,"11,4",4,95,200,"14,8",,"12,2",de 540,,80,,Discos ventilados,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
195400,Audi,100,4A/C4,1990,1994,Avant Berlina,2.6 quattro MT (150 CV),Berlina,5,4790,1777,1440,2692,1526,1527,1150/1130,,,,1550,124,1266,1266,550,2100,3800,Gasolina,2598,150,à 5 750,225,Inyección multipunto,V-twin,6,,"82,5",81,2,à 3 500,,Mecánica,tracción en las cuatro ruedas,"11,4",5,95,203,"13,3",,10,de 600,,80,,Discos ventilados,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","Independiente, multi-link",
195403,Audi,100,4A/C4,1990,1994,Avant Berlina,2.8 AT (174 CV),Berlina,5,4790,1777,1440,2687,1528,1524,1150/1050,,,,1429,103,1266,1266,571,2000,3700,Gasolina,2771,174,à 5 500,250,Inyección multipunto,V-twin,6,,"82,5","86,4",2,à 3 000,,Expendedora,Frente,"11,4",4,95,207,"13,8",,"9,5",de 580,,80,,Discos ventilados,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
195405,Audi,100,4A/C4,1990,1994,Avant Berlina,2.8 MT (174 CV),Berlina,5,4790,1777,1440,2687,1528,1524,1150/1050,,,,1413,103,1266,1266,587,2000,3650,Gasolina,2771,174,à 5 500,250,Inyección multipunto,V-twin,6,,"82,5","86,4",2,à 3 000,,Mecánica,Frente,"11,4",5,95,212,"12,5",,"8,3",de 640,,80,,Discos ventilados,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
195402,Audi,100,4A/C4,1990,1994,Avant Berlina,2.8 quattro AT (174 CV),Berlina,5,4790,1777,1440,2692,1526,1527,1150/1130,,,,1537,124,1266,1266,563,2100,4000,Gasolina,2771,174,à 5 500,250,Inyección multipunto,V-twin,6,,"82,5","86,4",2,à 3 000,,Expendedora,tracción en las cuatro ruedas,"11,4",4,95,207,"14,8",,"10,2",de 540,,80,,Discos ventilados,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","Independiente, multi-link",
195404,Audi,100,4A/C4,1990,1994,Avant Berlina,2.8 quattro MT (174 CV),Berlina,5,4790,1777,1440,2692,1526,1527,1150/1130,,,,1515,124,1266,1266,585,2100,3950,Gasolina,2771,174,à 5 500,250,Inyección multipunto,V-twin,6,,"82,5","86,4",2,à 3 000,,Mecánica,tracción en las cuatro ruedas,"11,4",5,95,212,"13,5",,"8,3",de 590,,80,,Discos ventilados,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","Independiente, multi-link",
25116,Audi,100,4A/C4,1990,1994,Sedan,2.0 AT (115 CV),Sedán,5,4790,1777,1429,2687,1526,1524,1080/1000,,,,1313,129,510,510,562,1875,3325,Gasolina,1984,115,à 5 400,168,Inyección multipunto,Inline,4,,"82,5","92,8",2,à 3 200,,Expendedora,Frente,"11,4",4,95,188,"11,7",,"12,6",de 680,,80,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
25118,Audi,100,4A/C4,1990,1994,Sedan,2.0 MT (101 CV),Sedán,5,4790,1777,1429,2687,1526,1524,1080/1000,,,,1282,129,510,510,578,1860,3160,Gasolina,1984,101,à 5 500,157,Inyección multipunto,Inline,4,,"82,5","92,8",2,à 2 750,,Mecánica,Frente,"11,4",5,95,182,"10,7",,"12,6",de 750,,80,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
25119,Audi,100,4A/C4,1990,1994,Sedan,2.0 MT (115 CV),Sedán,5,4790,1777,1429,2687,1526,1524,1080/1000,,,,1297,129,510,510,578,1875,3225,Gasolina,1984,115,à 5 400,168,Inyección multipunto,Inline,4,,"82,5","92,8",2,à 3 200,,Mecánica,Frente,"11,4",5,95,191,"11,1",,11,de 720,,80,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
25124,Audi,100,4A/C4,1990,1994,Sedan,2.3 AT (133 CV),Sedán,5,4790,1777,1431,2687,1526,1524,1090/1000,,,,1367,131,510,510,553,1920,3570,Gasolina,2309,133,à 5 500,186,Inyección multipunto,Inline,5,,"82,5","86,4",2,à 4 000,,Expendedora,Frente,"11,4",4,95,199,"12,8",,"11,9",de 630,,80,,Discos,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
25125,Audi,100,4A/C4,1990,1994,Sedan,2.3 MT (133 CV),Sedán,5,4790,1777,1431,2687,1526,1524,1090/1000,,,,1342,131,510,510,578,1920,3470,Gasolina,2309,133,à 5 500,186,Inyección multipunto,Inline,5,,"82,5","86,4",2,à 4 000,,Mecánica,Frente,"11,4",5,95,202,"12,5",,"10,2",de 640,,80,,Discos,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
25128,Audi,100,4A/C4,1990,1994,Sedan,2.4 D MT (82 CV),Sedán,5,4790,1777,1430,2687,1526,1524,1150/1000,,,,1350,127,510,510,585,1935,3285,Diesel,2370,82,à 4 400,164,Inyección multipunto,Inline,5,,"79,5","95,5",2,de 2 400 à 2 500,,Mecánica,Frente,"11,4",5,Diesel,167,"9,9",,"16,8",de 810,,80,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
25130,Audi,100,4A/C4,1990,1994,Sedan,2.5 TDI MT (115 CV),Sedán,5,4790,1777,1430,2687,1526,1524,1160/1000,,,,1403,127,510,510,572,1975,3475,Diesel,2460,115,à 4 000,265,La inyección directa,Inline,5,Turbo,81,"95,5",2,à 2 250,hay,Mecánica,Frente,"11,4",5,Diesel,195,"7,5",,"11,1",de 1 070,,80,,Discos,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
25132,Audi,100,4A/C4,1990,1994,Sedan,2.6 AT (150 CV),Sedán,5,4790,1777,1420,2687,1528,1524,1150/1000,,,,1412,101,510,510,538,1950,3650,Gasolina,2598,150,à 5 750,225,Inyección multipunto,V-twin,6,,"82,5",81,2,à 3 500,,Expendedora,Frente,"11,4",4,95,207,"13,5",,11,de 590,,80,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
25133,Audi,100,4A/C4,1990,1994,Sedan,2.6 MT (150 CV),Sedán,5,4790,1777,1420,2687,1528,1524,1150/1000,,,,1416,101,510,510,534,1950,3600,Gasolina,2598,150,à 5 750,225,Inyección multipunto,V-twin,6,,"82,5",81,2,à 3 500,,Mecánica,Frente,"11,4",5,95,210,"12,5",,"9,5",de 640,,80,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
25131,Audi,100,4A/C4,1990,1994,Sedan,2.6 quattro AT (150 CV),Sedán,5,4790,1777,1420,2692,1526,1527,1150/1080,,,,,122,510,510,,2050,3750,Gasolina,2598,150,à 5 750,225,Inyección multipunto,V-twin,6,,"82,5",81,2,à 3 500,,Expendedora,tracción en las cuatro ruedas,"11,4",4,95,207,"14,8",,"11,9",de 540,,80,,Discos,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","Independiente, multi-link",
25134,Audi,100,4A/C4,1990,1994,Sedan,2.6 quattro MT (150 CV),Sedán,5,4790,1777,1420,2692,1526,1527,1150/1080,,,,1516,122,510,510,534,2050,3750,Gasolina,2598,150,à 5 750,225,Inyección multipunto,V-twin,6,,"82,5",81,2,à 3 500,,Mecánica,tracción en las cuatro ruedas,"11,4",5,95,210,"13,3",,"9,7",de 600,,80,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","Independiente, multi-link",
25135,Audi,100,4A/C4,1990,1994,Sedan,2.8 AT (174 CV),Sedán,5,4790,1777,1420,2687,1528,1524,1110/1000,,,,1397,101,510,510,553,1950,3700,Gasolina,2771,174,à 5 500,250,Inyección multipunto,V-twin,6,,"82,5","86,4",2,à 3 000,,Expendedora,Frente,"11,4",4,95,216,"13,8",,"9,2",de 580,,80,,Discos ventilados,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
25138,Audi,100,4A/C4,1990,1994,Sedan,2.8 MT (174 CV),Sedán,5,4790,1777,1420,2687,1528,1524,1110/1000,,,,1372,101,510,510,578,1950,3650,Gasolina,2771,174,à 5 500,250,Inyección multipunto,V-twin,6,,"82,5","86,4",2,à 3 000,,Mecánica,Frente,"11,4",5,95,218,"12,5",,8,de 640,,80,,Discos ventilados,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
25136,Audi,100,4A/C4,1990,1994,Sedan,2.8 quattro AT (174 CV),Sedán,5,4790,1777,1437,2692,1526,1527,1130/1080,,,,1519,122,510,510,531,2050,3950,Gasolina,2771,174,à 5 500,250,Inyección multipunto,V-twin,6,,"82,5","86,4",2,à 3 000,,Expendedora,tracción en las cuatro ruedas,"11,4",4,95,216,"14,8",,"10,2",de 540,,80,,Discos,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","Independiente, multi-link",
25137,Audi,100,4A/C4,1990,1994,Sedan,2.8 quattro MT (174 CV),Sedán,5,4790,1777,1437,2692,1526,1527,1130/1080,,,,1472,122,510,510,578,2050,3950,Gasolina,2771,174,à 5 500,250,Inyección multipunto,V-twin,6,,"82,5","86,4",2,à 3 000,,Mecánica,tracción en las cuatro ruedas,"11,4",5,95,218,"13,5",,8,de 590,,80,,Discos,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","Independiente, multi-link",
192676,Audi,100,S2,1976,1980,Sedan,1.6 AT (86 CV),Sedán,5,4680,1768,1390,2677,1470,1445,870/810,,,,1110,128,642,642,460,1570,2570,Gasolina,1588,86,à 5 600,124,Carburador,Inline,4,,"79,5",80,2,à 3 200,,Expendedora,Frente,"11,3",3,92,156,"9,5",,"16,3",de 630,,60,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
192677,Audi,100,S2,1976,1980,Sedan,1.6 MT (86 CV),Sedán,5,4680,1768,1390,2677,1470,1445,870/810,,,,1110,128,642,642,460,1570,2570,Gasolina,1588,86,à 5 600,124,Carburador,Inline,4,,"79,5",80,2,à 3 200,,Mecánica,Frente,"11,3",5,92,160,"8,9",,"13,4",de 670,,60,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
42118,Audi,100,S2,1976,1980,Sedan,2.0 D MT (70 CV),Sedán,5,4680,1768,1390,2677,1470,1445,1020/830,,,,1210,128,642,642,460,1670,2770,Diesel,1986,70,à 4 800,123,La inyección directa,Inline,5,,"76,5","86,4",2,à 3 000,,Mecánica,Frente,"11,3",5,Diesel,150,"8,2",,"17,5",de 730,,60,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
192678,Audi,100,S2,1976,1980,Sedan,2.2 AT (115 CV),Sedán,5,4680,1768,1390,2677,1470,1445,925/810,,,,1170,128,642,642,460,1630,3030,Gasolina,2144,115,à 5 500,166,Carburador,Inline,5,,"79,5","86,4",2,à 4 000,,Expendedora,Frente,"11,3",3,92,175,"11,1",,"12,9",de 540,,60,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
192679,Audi,100,S2,1976,1980,Sedan,2.2 AT (136 CV),Sedán,5,4680,1768,1390,2677,1470,1445,925/810,,,,1170,128,642,642,460,1630,3230,Gasolina,2144,136,à 5 700,185,Inyección multipunto,Inline,5,,"79,5","86,4",2,à 4 200,,Expendedora,Frente,"11,3",3,92,185,"11,1",,"11,4",de 540,,60,,Discos ventilados,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
192680,Audi,100,S2,1976,1980,Sedan,2.2 MT (115 CV),Sedán,5,4680,1768,1390,2677,1470,1445,925/810,,,,1170,128,642,642,460,1630,2980,Gasolina,2144,115,à 5 500,166,Carburador,Inline,5,,"79,5","86,4",2,à 4 000,,Mecánica,Frente,"11,3",5,92,179,"10,6",,"11,2",de 570,,60,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
192681,Audi,100,S2,1976,1980,Sedan,2.2 MT (136 CV),Sedán,5,4680,1768,1390,2677,1470,1445,925/810,,,,1170,128,642,642,460,1630,3130,Gasolina,2144,136,à 5 700,185,Inyección multipunto,Inline,5,,"79,5","86,4",2,à 4 200,,Mecánica,Frente,"11,3",5,92,190,"10,5",,"9,5",de 570,,60,,Discos ventilados,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
42063,Audi,100,S3,1982,1988,Avant Berlina,1.8 AT (90 CV),Berlina,5,4792,1814,1422,2687,1468,1467,,,,,1117,,1920,644,563,1680,2830,Gasolina,1781,90,à 5 200,145,Carburador,Inline,4,,81,"86,4",2,à 3 300,,Expendedora,Frente,"11,6",4,95,,,,,,,80,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
42058,Audi,100,S3,1982,1988,Avant Berlina,1.8 MT (75 CV),Berlina,5,4792,1814,1422,2687,1468,1467,,,,,1130,,1920,644,500,1630,2780,Gasolina,1781,75,à 4 600,138,Carburador,Inline,4,,81,"86,4",2,à 2 500,,Mecánica,Frente,"11,6",4,95,163,,"7,3","15,7",,,80,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
190215,Audi,100,S3,1982,1988,Avant Berlina,1.8 MT (90 CV),Berlina,5,4792,1814,1422,2687,1468,1467,,,,,1117,,1920,644,563,1680,2830,Gasolina,1781,90,à 5 200,145,Carburador,Inline,4,,81,"86,4",2,à 3 300,,Mecánica,Frente,"11,6",5,95,173,,"7,9",13,,,80,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
42064,Audi,100,S3,1982,1988,Avant Berlina,1.8 quattro MT (90 CV),Berlina,5,4792,1814,1422,2684,1468,1494,,,,,1240,130,1920,644,550,1790,3040,Gasolina,1781,90,à 5 200,150,Carburador,Inline,4,,81,"86,4",2,à 3 300,,Mecánica,tracción en las cuatro ruedas,"11,6",5,98,174,"11,9",,"13,4",de 670,,80,,Discos ventilados,Discos,"No corte el puente, Barra Panhard, Amortiguadores, resorte helicoidal","Independiente, La palanca trapezoidal",
190217,Audi,100,S3,1982,1988,Avant Berlina,2.0 AT (115 CV),Berlina,5,4792,1814,1422,2687,1468,1467,1030/950,,,,1231,,1920,644,609,1840,3090,Gasolina,1994,115,à 5 200,170,Inyección multipunto,Inline,5,,81,"77,4",2,à 3 000,,Expendedora,Frente,"11,6",4,95,184,"12,5",,"13,5",de 640,,80,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
190216,Audi,100,S3,1982,1988,Avant Berlina,2.0 D AT (70 CV),Berlina,5,4792,1814,1422,2687,1468,1467,1030/950,,,,1248,,1920,644,592,1840,2990,Diesel,1986,70,à 4 800,123,La inyección directa,Inline,5,,"76,5","86,4",2,à 2 800,,Expendedora,Frente,"11,6",4,Diesel,152,,,"22,5",,,80,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
42072,Audi,100,S3,1982,1988,Avant Berlina,2.0 D MT (70 CV),Berlina,5,4792,1814,1422,2687,1468,1467,1030/950,,,,1248,,1920,644,592,1840,2990,Diesel,1986,70,à 4 800,123,La inyección directa,Inline,5,,"76,5","86,4",2,à 2 800,,Mecánica,Frente,"11,6",5,Diesel,154,9,,19,de 890,,80,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
42069,Audi,100,S3,1982,1988,Avant Berlina,2.0 MT (115 CV),Berlina,5,4792,1814,1422,2687,1468,1467,1030/950,,,,1231,,1920,644,609,1840,3090,Gasolina,1994,115,à 5 200,170,Inyección multipunto,Inline,5,,81,"77,4",2,à 3 000,,Mecánica,Frente,"11,6",5,95,188,"11,6",,"11,2",de 690,,80,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
42067,Audi,100,S3,1982,1988,Avant Berlina,2.0 TD AT (87 CV),Berlina,5,4792,1814,1422,2687,1468,1467,1050/930,,,,1230,,1920,644,570,1800,3300,Diesel,1986,87,à 4 500,172,La inyección directa,Inline,5,Turbo,"76,5","86,4",2,à 2 750,hay,Expendedora,Frente,"11,6",4,Diesel,,,,,,,80,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
42073,Audi,100,S3,1982,1988,Avant Berlina,2.0 TD MT (87 CV),Berlina,5,4792,1814,1422,2687,1468,1467,1050/930,,,,1230,,1920,644,570,1800,3300,Diesel,1986,87,à 4 500,172,La inyección directa,Inline,5,Turbo,"76,5","86,4",2,à 2 750,hay,Mecánica,Frente,"11,6",5,Diesel,170,9,,"13,6",de 890,,80,,Discos,tambor,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
190218,Audi,100,S3,1982,1988,Avant Berlina,2.2 AT (138 CV),Berlina,5,4792,1814,1422,2687,1468,1467,1030/950,,,,1238,,1920,644,602,1840,3290,Gasolina,2226,138,à 5 700,188,Inyección multipunto,Inline,5,,81,"86,4",2,à 3 500,,Expendedora,Frente,"11,6",4,95,196,"12,7",,"11,8",de 630,,80,,Discos ventilados,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
190219,Audi,100,S3,1982,1988,Avant Berlina,2.2 MT (138 CV),Berlina,5,4792,1814,1422,2687,1468,1467,1030/950,,,,1238,,1920,644,602,1840,3290,Gasolina,2226,138,à 5 700,188,Inyección multipunto,Inline,5,,81,"86,4",2,à 3 500,,Mecánica,Frente,"11,6",5,95,199,"12,4",,"10,2",de 650,,80,,Discos ventilados,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
42081,Audi,100,S3,1982,1988,Avant Berlina,2.2 quattro MT (138 CV),Berlina,5,4792,1814,1422,2687,1468,1494,,,,,1370,130,1920,644,550,1920,3470,Gasolina,2226,138,à 5 700,188,Inyección multipunto,Inline,5,,81,"86,4",2,à 3 500,,Mecánica,tracción en las cuatro ruedas,"11,6",5,98,199,"12,9",,"10,2",de 620,,80,,Discos ventilados,Discos,"No corte el puente, Barra Panhard, Amortiguadores, resorte helicoidal","Independiente, La palanca trapezoidal",
42075,Audi,100,S3,1982,1988,Avant Berlina,2.2 T AT (165 CV),Berlina,5,4792,1814,1422,2687,1476,1471,,,,,1306,,1920,644,584,1890,3390,Gasolina,2226,165,à 5 500,240,Inyección multipunto,Inline,5,Turbo,81,"86,4",2,à 3 000,hay,Expendedora,Frente,"11,6",4,95,212,,"10,9","9,2",,,80,,Discos ventilados,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
